full_name,gender,birthday,citizen_id,email,phone,address,high_school,graduation_year,major_code,method_id,math_score,literature_score,english_score,status
Dương Anh Nhi,Nam,2008-10-02,099583827320,duonganhnhi.20260001@demo.tdmu.edu.vn,0938141158,An Giang,THPT Bến Cát,2026,7340301,1,5.87,6.9,5.22,approved
Vũ Văn Ngân,Nam,2008-08-25,069525207191,vuvanngan.20260002@demo.tdmu.edu.vn,0950055387,An Giang,THPT Dĩ An,2026,7340301,3,5.64,8.95,5.32,new
Đặng Quang Nhi,Nữ,2008-08-04,051638169240,dangquangnhi.20260003@demo.tdmu.edu.vn,0992848526,Bình Dương,THPT Bình Phú,2026,7340301,2,7.58,7.97,9.5,pending
Ngô Thanh Trí,Nữ,2008-05-25,013127227418,ngothanhtri.20260004@demo.tdmu.edu.vn,0921012741,Bình Phước,THPT Phước Vĩnh,2026,7340301,1,6.55,9.32,5.61,pending
Nguyễn Thị Mai,Nữ,2008-04-14,038296468346,nguyenthimai.20260005@demo.tdmu.edu.vn,0945373656,TP Hồ Chí Minh,THPT Bến Cát,2026,7340301,1,8.2,6.08,5.19,pending
Nguyễn Trọng Trang,Nữ,2008-06-16,019469866415,nguyentrongtrang.20260006@demo.tdmu.edu.vn,0954811303,Đồng Nai,THPT Phước Vĩnh,2026,7480201,1,6.82,6.72,5.18,approved
Đỗ Văn Quân,Nữ,2008-10-16,027952010355,dovanquan.20260007@demo.tdmu.edu.vn,0989858085,Long An,THPT Tân Phước Khánh,2026,7480201,1,7.2,9.14,8.81,approved
Dương Hữu Giang,Nam,2008-11-22,061436092550,duonghuugiang.20260008@demo.tdmu.edu.vn,0972064263,Bà Rịa - Vũng Tàu,THPT Tân Phước Khánh,2026,7340301,1,8.61,5.41,9.46,approved
Nguyễn Thị Châu,Nữ,2008-09-11,025165169151,nguyenthichau.20260009@demo.tdmu.edu.vn,0918070954,Bình Dương,THPT Phước Vĩnh,2026,7340301,1,8.97,8.11,6.95,new
Huỳnh Văn Hùng,Nam,2008-03-14,015697935889,huynhvanhung.20260010@demo.tdmu.edu.vn,0975298176,Tiền Giang,THPT Dĩ An,2026,7340301,2,6.16,7.57,9.14,pending
